Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Albania,ALB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.96443513419733,1.11669142130533,-5.15442352629464,..,..
Albania,ALB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,12379624246.5057,12379000501.4942,11942964386.2708,..,..
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4318.91149189977,4337.13108250086,4208.45661142323,..,..
Albania,ALB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.30390855205182,3.30390855205182,3.30390855205182,..,..
Albania,ALB,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,2578132053.8289,2638917728.33817,2550554897.46158,..,..
Albania,ALB,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,500145450.324907,502149869.662113,483606299.329939,..,..
Albania,ALB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,16.60710559,14.69213836,11.26203365,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15156424061.9815,15401826080.5183,15162734205.2462,17930565118.8176,18882095517.8768
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.84423589539303
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5287.66081699731,5396.21422690995,5343.0377039956,6377.20309553753,6802.80451885113
Albania,ALB,Gini index,SI.POV.GINI,30.1,30.1,29.4,..,..
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,15137984897.5591,15200244541.9167,14912504601.9328,17680966714.6445,18535091967.2687
Albania,ALB,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,3.65387455180131,0.91655400440726,-3.61722236052508,9.16507459647096,..
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,..,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.1411514282227,..,..,98.4499969482422,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.184,79.282,76.989,76.463,..
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.5459674731621,18.1443771903866,16.9832622958989,18.1985894411308,..
Albania,ALB,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,37.3,36.6,..,..,..
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,15.09,14.86,..,..,..
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,6.36,5.82,..,..,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.44,1.414,1.4,1.39,..
Albania,ALB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,3008.433359,2848.125872,2692.195886,..,..
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.8496715328467,42.8467153284672,42.538503649635,..,..
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,11740.81,11740,11655.55,..,..
Albania,ALB,"Armed forces personnel, total",MS.MIL.TOTL.P1,9000,8000,..,..,..
Albania,ALB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.638574587995223,0.558267806649528,..,..,..
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.308,8.48,10.785,11.325,..
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,1.6471,1.8754,..,..
Albania,ALB,Gross domestic savings (current US$),NY.GDS.TOTL.CD,1455883284.8974,1332692697.52164,1137894682.92683,2051158469.8609,2655413674.89863
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,59.3,60.31,..,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.85464154039805,1.74946245713759,1.54455011524574,..,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.4,68.55039112,72.23767711,79.32,..
Albania,ALB,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,71000000,82000000,42000000,..,..
Albania,ALB,"Air transport, passengers carried",IS.AIR.PSGR,303137,307741,124714,193259,..
Albania,ALB,Time required to build a warehouse (days),IC.WRH.DURS,324,324,..,..,..
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1.46983381887842,1.42437109584124,0.582225701330423,1.04218369204761,..
